Flow,Category,Flow property,Unit,Amount,Formula,Description,Uncertainty,(g)mean +AHw- mode,SD +AHw- GSD,Minimum,Maximum
Aluminium,Elementary flows/Resource/in ground,Mass,kg,0.00016977702,,,undefined,,,,
Anhydrite,Elementary flows/Resource/in ground,Mass,kg,0.000000012756133,,,undefined,,,,
+ACI-Barite, 15+ACU- in crude ore+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.0001754492,,,undefined,,,,
Basalt,Elementary flows/Resource/in ground,Mass,kg,0.000031117201,,,undefined,,,,
Borax,Elementary flows/Resource/in ground,Mass,kg,0.0000000029628,,,undefined,,,,
+ACI-Bromine, 0.0023+ACU- in water+ACI-,Elementary flows/Resource/in water,Mass,kg,0.00022809616,,,undefined,,,,
+ACI-Cadmium, 0.30+ACU- in sulfide, Cd 0.18+ACU-, Pb, Zn, Ag, In+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.00000010018814,,,undefined,,,,
Calcium carbonate,Elementary flows/Resource/in ground,Mass,kg,0.0065315622,,,undefined,,,,
Carbon dioxide,Elementary flows/Resource/in air,Mass,kg,3.3381341,,,undefined,,,,
+ACI-Carbon dioxide, in air+ACI-,Resources/Unspecified,Mass,kg,0.0018100237,,,undefined,,,,
+ACI-Carbon, in organic matter, in soil+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.000011359501,,,undefined,,,,
+ACI-Chromium, 25.5+ACU- in chromite, 11.6+ACU- in crude ore+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.000092669965,,,undefined,,,,
Chrysotile,Elementary flows/Resource/in ground,Mass,kg,0.00000024000479,,,undefined,,,,
Cinnabar,Elementary flows/Resource/in ground,Mass,kg,0.000000022072696,,,undefined,,,,
+ACI-Clay, bentonite+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.000043239012,,,undefined,,,,
+ACI-Clay, unspecified+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.0034421149,,,undefined,,,,
+ACI-Coal, 18.0 MJ per kg, in ground+ACI-,Resources/in ground,Mass,kg,0.014808488,,,undefined,,,,
+ACI-Coal, 26.4 MJ per kg+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.0096190469,,,undefined,,,,
+ACI-Coal, brown+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.0000081747758,,,undefined,,,,
+ACI-Coal, brown, 10.0 MJ per kg, in ground+ACI-,Resources/in ground,Mass,kg,0.02168707,,,undefined,,,,
+ACI-Coal, hard, unspecified+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.00012976662,,,undefined,,,,
Cobalt,Resources/in ground,Mass,kg,0.000000047110323,,,undefined,,,,
Colemanite,Elementary flows/Resource/in ground,Mass,kg,0.0000048565685,,,undefined,,,,
+ACI-Copper, 0.99+ACU- in sulfide, Cu 0.36+ACU- and Mo 8.2E+AC0-3+ACU- in crude ore+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.0000097661132,,,undefined,,,,
+ACI-Copper, 1.18+ACU- in sulfide, Cu 0.39+ACU- and Mo 8.2E+AC0-3+ACU- in crude ore+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.000053752832,,,undefined,,,,
+ACI-Copper, 1.42+ACU- in sulfide, Cu 0.81+ACU- and Mo 8.2E+AC0-3+ACU- in crude ore+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.000014258707,,,undefined,,,,
+ACI-Copper, 2.19+ACU- in sulfide, Cu 1.83+ACU- and Mo 8.2E+AC0-3+ACU- in crude ore+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.000071334776,,,undefined,,,,
Diatomite,Elementary flows/Resource/in ground,Mass,kg,2.6388872E+AC0-11,,,undefined,,,,
Dolomite,Elementary flows/Resource/in ground,Mass,kg,0.000011784879,,,undefined,,,,
+ACI-Energy, gross calorific value, in biomass+ACI-,Elementary flows/Resource/biotic,Energy,MJ,0.020539133,,,undefined,,,,
+ACI-Energy, gross calorific value, in biomass, primary forest+ACI-,Elementary flows/Resource/biotic,Energy,MJ,0.00078754587,,,undefined,,,,
+ACI-Energy, kinetic (in wind), converted+ACI-,Elementary flows/Resource/in air,Energy,MJ,0.017800402,,,undefined,,,,
+ACI-Energy, potential (in hydropower reservoir), converted+ACI-,Elementary flows/Resource/in water,Energy,MJ,0.029731203,,,undefined,,,,
+ACI-Energy, solar, converted+ACI-,Elementary flows/Resource/in air,Energy,MJ,0.012776873,,,undefined,,,,
Feldspar,Elementary flows/Resource/in ground,Mass,kg,7.2801806E+AC0-11,,,undefined,,,,
Fluorine,Elementary flows/Resource/in ground,Mass,kg,0.0025479279,,,undefined,,,,
+ACI-Fluorine, 4.5+ACU- in apatite, 3+ACU- in crude ore+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.00013735537,,,undefined,,,,
+ACI-Fluorspar, 92+ACU-+ACI-,Elementary flows/Resource/in ground,Mass,kg,0.00014825012,,,undefined,,,,
gallium,Elementary flows/Resource/in ground,Mass,kg,2.0817308E+AC0-11,,,undefined,,,,
+ACI-Gas, natural+ACI-,Elementary flows/Resource/in ground,Volume,m3,0.0036342824,,,undefined,,,,
+ACI-Gas, natural+ACI-,Elementary flows/Resource/in ground,Volume,m3,0.000000080601602,,,undefined,,,,
